"061837 PM - RawData-003 - C:\Users\Ian\06132008\blocking-sampl-area-2_061426 PM.spc"
"Wavelength nm.","T%"
552.00,83.585
552.50,83.617
553.00,83.609
553.50,83.600
554.00,83.600
554.50,83.595
555.00,83.557
555.50,83.539
556.00,83.566
556.50,83.559
557.00,83.549
557.50,83.545
558.00,83.537
558.50,83.539
559.00,83.533
559.50,83.553
560.00,83.565
560.50,83.553
561.00,83.569
561.50,83.582
562.00,83.574
562.50,83.551
563.00,83.527
563.50,83.527
564.00,83.540
564.50,83.563
565.00,83.577
565.50,83.559
566.00,83.559
566.50,83.553
567.00,83.536
567.50,83.548
568.00,83.575
568.50,83.589
569.00,83.575
569.50,83.537
570.00,83.549
570.50,83.585
571.00,83.580
571.50,83.582
572.00,83.591
572.50,83.589
573.00,83.586
573.50,83.598
574.00,83.606
574.50,83.629
575.00,83.626
575.50,83.615
576.00,83.612
576.50,83.607
577.00,83.621
577.50,83.629
578.00,83.652
578.50,83.665
579.00,83.653
579.50,83.652
580.00,83.670
580.50,83.682
581.00,83.682
581.50,83.679
582.00,83.688
582.50,83.693
583.00,83.682
583.50,83.698
584.00,83.723
584.50,83.714
585.00,83.713
585.50,83.736
586.00,83.749
586.50,83.745
587.00,83.772
587.50,83.810
588.00,83.768
588.50,83.749
589.00,83.772
589.50,83.771
590.00,83.801
590.50,83.815
591.00,83.836
591.50,83.818
592.00,83.803
592.50,83.806
593.00,83.807
593.50,83.855
594.00,83.850
594.50,83.844
595.00,83.847
595.50,83.859
596.00,83.870
596.50,83.902
597.00,83.946
597.50,83.936
598.00,83.942
598.50,83.949
599.00,83.965
599.50,83.977
600.00,83.981
600.50,83.983
601.00,83.986
601.50,84.000
602.00,84.004
602.50,84.029
603.00,84.070
603.50,84.090
604.00,84.087
604.50,84.084
605.00,84.081
605.50,84.105
606.00,84.116
606.50,84.116
607.00,84.105
607.50,84.097
608.00,84.119
608.50,84.157
609.00,84.209
609.50,84.251
610.00,84.230
610.50,84.212
611.00,84.241
611.50,84.256
612.00,84.253
612.50,84.247
613.00,84.273
613.50,84.317
614.00,84.344
614.50,84.375
615.00,84.404
615.50,84.402
616.00,84.399
616.50,84.401
617.00,84.404
617.50,84.427
618.00,84.456
618.50,84.450
619.00,84.473
619.50,84.497
620.00,84.489
620.50,84.506
621.00,84.514
621.50,84.514
622.00,84.529
622.50,84.535
623.00,84.541
623.50,84.569
624.00,84.583
624.50,84.618
625.00,84.633
625.50,84.627
626.00,84.653
626.50,84.677
627.00,84.695
627.50,84.688
628.00,84.714
628.50,84.737
629.00,84.752
629.50,84.781
630.00,84.781
630.50,84.776
631.00,84.790
631.50,84.805
632.00,84.827
632.50,84.850
633.00,84.877
633.50,84.894
634.00,84.888
634.50,84.917
635.00,84.935
635.50,84.943
636.00,84.961
636.50,84.973
637.00,85.002
637.50,85.008
638.00,85.023
638.50,85.020
639.00,85.039
639.50,85.098
640.00,85.085
640.50,85.086
641.00,85.127
641.50,85.162
642.00,85.170
642.50,85.168
643.00,85.184
643.50,85.184
644.00,85.199
644.50,85.208
645.00,85.231
645.50,85.280
646.00,85.281
646.50,85.278
647.00,85.284
647.50,85.323
648.00,85.373
648.50,85.387
649.00,85.374
649.50,85.378
650.00,85.406
650.50,85.434
651.00,85.451
651.50,85.454
652.00,85.461
652.50,85.489
653.00,85.527
653.50,85.550
654.00,85.561
654.50,85.580
655.00,85.591
655.50,85.585
656.00,85.577
656.50,85.606
657.00,85.634
657.50,85.635
658.00,85.674
658.50,85.698
659.00,85.721
659.50,85.760
660.00,85.771
660.50,85.770
661.00,85.776
661.50,85.786
662.00,85.780
662.50,85.791
663.00,85.814
663.50,85.840
664.00,85.866
664.50,85.880
665.00,85.916
665.50,85.918
666.00,85.910
666.50,85.918
667.00,85.939
667.50,85.977
668.00,85.980
668.50,85.983
669.00,86.008
669.50,86.028
670.00,86.064
670.50,86.092
671.00,86.107
671.50,86.110
672.00,86.130
672.50,86.162
673.00,86.177
673.50,86.212
674.00,86.230
674.50,86.224
675.00,86.235
675.50,86.246
676.00,86.296
676.50,86.324
677.00,86.328
677.50,86.366
678.00,86.372
678.50,86.371
679.00,86.383
679.50,86.389
680.00,86.378
680.50,86.420
681.00,86.455
681.50,86.478
682.00,86.523
682.50,86.517
683.00,86.505
683.50,86.539
684.00,86.574
684.50,86.560
685.00,86.581
685.50,86.603
686.00,86.583
686.50,86.586
687.00,86.613
687.50,86.620
688.00,86.603
688.50,86.633
689.00,86.623
689.50,86.641
690.00,86.676
690.50,86.679
691.00,86.711
691.50,86.739
692.00,86.751
692.50,86.771
693.00,86.801
693.50,86.807
694.00,86.824
694.50,86.832
695.00,86.845
695.50,86.871
696.00,86.874
696.50,86.899
697.00,86.899
697.50,86.906
698.00,86.940
698.50,86.958
699.00,86.981
699.50,87.012
700.00,87.012
700.50,86.992
701.00,86.989
701.50,87.012
702.00,87.019
702.50,87.000
703.00,87.039
703.50,87.071
704.00,87.065
704.50,87.079
705.00,87.163
705.50,87.193
706.00,87.190
706.50,87.225
707.00,87.213
707.50,87.196
708.00,87.218
708.50,87.265
709.00,87.274
709.50,87.282
710.00,87.335
710.50,87.347
711.00,87.349
711.50,87.344
712.00,87.347
712.50,87.387
713.00,87.416
713.50,87.436
714.00,87.425
714.50,87.415
715.00,87.419
715.50,87.416
716.00,87.419
716.50,87.431
717.00,87.430
717.50,87.448
718.00,87.486
718.50,87.529
719.00,87.521
719.50,87.512
720.00,87.541
720.50,87.544
721.00,87.575
721.50,87.593
722.00,87.602
722.50,87.605
723.00,87.607
723.50,87.645
724.00,87.654
724.50,87.640
725.00,87.645
725.50,87.675
726.00,87.688
726.50,87.691
727.00,87.692
727.50,87.680
728.00,87.689
728.50,87.717
729.00,87.732
729.50,87.733
730.00,87.772
730.50,87.805
731.00,87.810
731.50,87.825
732.00,87.813
732.50,87.816
733.00,87.827
733.50,87.837
734.00,87.898
734.50,87.933
735.00,87.941
735.50,87.932
736.00,87.910
736.50,87.935
737.00,87.958
737.50,87.961
738.00,87.938
