 # PENELOPE >>>  Positron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br        xs_an       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #-------------------------------------------------------------------------------------------
   8.81943E+03  7.74123E-19  8.51611E-19  3.33544E-23  5.46096E-25  1.62577E-18  2.01943E-20
   9.59686E+03  7.73749E-19  8.53320E-19  3.37204E-23  5.13199E-25  1.62710E-18  2.03991E-20
   1.04428E+04  7.73424E-19  8.54993E-19  3.40792E-23  4.82150E-25  1.62845E-18  2.06058E-20
   1.13634E+04  7.73141E-19  8.56632E-19  3.44306E-23  4.52860E-25  1.62981E-18  2.08144E-20
   1.23650E+04  7.72909E-19  8.58239E-19  3.47746E-23  4.25240E-25  1.63118E-18  2.10251E-20
   1.34550E+04  7.72740E-19  8.59815E-19  3.51110E-23  3.99205E-25  1.63259E-18  2.12365E-20
   1.46411E+04  7.72633E-19  8.61361E-19  3.54397E-23  3.74674E-25  1.63403E-18  2.14499E-20
   1.59317E+04  7.72583E-19  8.62878E-19  3.57609E-23  3.51566E-25  1.63550E-18  2.16639E-20
   1.73360E+04  7.72571E-19  8.64366E-19  3.60752E-23  3.29807E-25  1.63697E-18  2.18796E-20
   1.88642E+04  7.72573E-19  8.65823E-19  3.63840E-23  3.09323E-25  1.63843E-18  2.20956E-20
   2.05271E+04  7.72600E-19  8.67249E-19  3.66887E-23  2.90045E-25  1.63989E-18  2.23127E-20
   2.23365E+04  7.72659E-19  8.68642E-19  3.69899E-23  2.71907E-25  1.64134E-18  2.25298E-20
   2.43055E+04  7.72737E-19  8.69999E-19  3.72875E-23  2.54846E-25  1.64277E-18  2.27490E-20
   2.64480E+04  7.72818E-19  8.71317E-19  3.75809E-23  2.38802E-25  1.64417E-18  2.29679E-20
   2.87794E+04  7.72890E-19  8.72594E-19  3.78698E-23  2.23718E-25  1.64552E-18  2.31877E-20
   3.13163E+04  7.72948E-19  8.73824E-19  3.81537E-23  2.09541E-25  1.64681E-18  2.34080E-20
   3.40768E+04  7.72981E-19  8.75006E-19  3.84326E-23  1.96218E-25  1.64803E-18  2.36288E-20
   3.70807E+04  7.72982E-19  8.76133E-19  3.87066E-23  1.83702E-25  1.64915E-18  2.38497E-20
   4.03493E+04  7.72944E-19  8.77204E-19  3.89760E-23  1.71946E-25  1.65019E-18  2.40715E-20
   4.39061E+04  7.72867E-19  8.78213E-19  3.92403E-23  1.60907E-25  1.65112E-18  2.42931E-20
   4.77764E+04  7.72769E-19  8.79159E-19  3.94981E-23  1.50544E-25  1.65197E-18  2.45150E-20
   5.19879E+04  7.72651E-19  8.80038E-19  3.97475E-23  1.40818E-25  1.65273E-18  2.47369E-20
   5.65706E+04  7.72520E-19  8.80850E-19  3.99881E-23  1.31692E-25  1.65341E-18  2.49592E-20
   6.15573E+04  7.72397E-19  8.81594E-19  4.02213E-23  1.23131E-25  1.65403E-18  2.51824E-20
   6.69835E+04  7.72288E-19  8.82270E-19  4.04488E-23  1.15102E-25  1.65460E-18  2.54051E-20
   7.28881E+04  7.72177E-19  8.82880E-19  4.06724E-23  1.07574E-25  1.65510E-18  2.56283E-20
   7.93132E+04  7.72069E-19  8.83428E-19  4.08943E-23  1.00517E-25  1.65554E-18  2.58518E-20
   8.63046E+04  7.71987E-19  8.83915E-19  4.11164E-23  9.39039E-26  1.65594E-18  2.60750E-20
   9.39123E+04  7.71913E-19  8.84346E-19  4.13398E-23  8.77077E-26  1.65630E-18  2.62986E-20
   1.02191E+05  7.71915E-19  8.84725E-19  4.15654E-23  8.19038E-26  1.65668E-18  2.65220E-20
   1.11199E+05  7.72403E-19  8.85056E-19  4.17928E-23  7.64687E-26  1.65750E-18  2.67447E-20
   1.21001E+05  7.72981E-19  8.85345E-19  4.20198E-23  7.13801E-26  1.65837E-18  2.69693E-20
   1.31667E+05  7.73243E-19  8.85596E-19  4.22436E-23  6.66171E-26  1.65888E-18  2.71932E-20
   1.43273E+05  7.73188E-19  8.85813E-19  4.24614E-23  6.21600E-26  1.65904E-18  2.74173E-20
   1.55903E+05  7.73110E-19  8.86000E-19  4.26705E-23  5.79901E-26  1.65915E-18  2.76416E-20
   1.69646E+05  7.73122E-19  8.86160E-19  4.28682E-23  5.40899E-26  1.65932E-18  2.78658E-20
   1.84600E+05  7.73136E-19  8.86298E-19  4.30524E-23  5.04426E-26  1.65948E-18  2.80900E-20
   2.00872E+05  7.73130E-19  8.86415E-19  4.32205E-23  4.70328E-26  1.65959E-18  2.83147E-20
   2.18579E+05  7.73126E-19  8.86515E-19  4.33712E-23  4.38456E-26  1.65969E-18  2.85376E-20
   2.37847E+05  7.73128E-19  8.86601E-19  4.35059E-23  4.08672E-26  1.65977E-18  2.87624E-20
   2.58813E+05  7.73130E-19  8.86674E-19  4.36267E-23  3.80846E-26  1.65985E-18  2.89873E-20
   2.81627E+05  7.73130E-19  8.86736E-19  4.37358E-23  3.54854E-26  1.65991E-18  2.92115E-20
   3.06453E+05  7.73130E-19  8.86788E-19  4.38355E-23  3.30581E-26  1.65996E-18  2.94365E-20
   3.33466E+05  7.73129E-19  8.86833E-19  4.39279E-23  3.07918E-26  1.66001E-18  2.96607E-20
   3.62861E+05  7.73129E-19  8.86871E-19  4.40160E-23  2.86762E-26  1.66004E-18  2.98855E-20
   3.94847E+05  7.73129E-19  8.86903E-19  4.41023E-23  2.67017E-26  1.66008E-18  3.01103E-20
   4.29653E+05  7.73130E-19  8.86930E-19  4.41897E-23  2.48594E-26  1.66010E-18  3.03347E-20
   4.67527E+05  7.73130E-19  8.86953E-19  4.42818E-23  2.31406E-26  1.66013E-18  3.05594E-20
   5.08739E+05  7.73129E-19  8.86973E-19  4.43825E-23  2.15374E-26  1.66015E-18  3.07840E-20
   5.53584E+05  7.73129E-19  8.86989E-19  4.44932E-23  2.00424E-26  1.66016E-18  3.10081E-20
   6.02383E+05  7.73130E-19  8.87003E-19  4.46092E-23  1.86484E-26  1.66018E-18  3.12337E-20
   6.55483E+05  7.73129E-19  8.87015E-19  4.47268E-23  1.73490E-26  1.66019E-18  3.14578E-20
   7.13263E+05  7.73129E-19  8.87025E-19  4.48478E-23  1.61378E-26  1.66020E-18  3.16829E-20
   7.76137E+05  7.73130E-19  8.87033E-19  4.49756E-23  1.50092E-26  1.66021E-18  3.19075E-20
   8.44553E+05  7.73131E-19  8.87040E-19  4.51129E-23  1.39576E-26  1.66022E-18  3.21322E-20
   9.19000E+05  7.73131E-19  8.87046E-19  4.52578E-23  1.29780E-26  1.66022E-18  3.23571E-20
   1.00001E+06  7.73130E-19  8.87052E-19  4.54055E-23  1.20656E-26  1.66023E-18  3.25821E-20
