 # PENELOPE >>>  Electron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   3.78926E+03  7.84140E-19  8.32243E-19  3.06226E-23  1.61641E-18  1.83355E-20
   4.12328E+03  7.82507E-19  8.34334E-19  3.09947E-23  1.61687E-18  1.84994E-20
   4.48675E+03  7.81047E-19  8.36413E-19  3.13569E-23  1.61749E-18  1.86706E-20
   4.88225E+03  7.79765E-19  8.38464E-19  3.17151E-23  1.61826E-18  1.88477E-20
   5.31262E+03  7.78637E-19  8.40477E-19  3.20753E-23  1.61915E-18  1.90303E-20
   5.78093E+03  7.77642E-19  8.42447E-19  3.24358E-23  1.62012E-18  1.92161E-20
   6.29051E+03  7.76768E-19  8.44372E-19  3.27895E-23  1.62117E-18  1.94059E-20
   6.84502E+03  7.76008E-19  8.46249E-19  3.31340E-23  1.62229E-18  1.95993E-20
   7.44841E+03  7.75362E-19  8.48082E-19  3.34701E-23  1.62348E-18  1.97962E-20
   8.10498E+03  7.74816E-19  8.49870E-19  3.37992E-23  1.62472E-18  1.99958E-20
   8.81943E+03  7.74353E-19  8.51618E-19  3.41222E-23  1.62600E-18  2.01981E-20
   9.59686E+03  7.73961E-19  8.53327E-19  3.44394E-23  1.62732E-18  2.04027E-20
   1.04428E+04  7.73619E-19  8.54999E-19  3.47509E-23  1.62865E-18  2.06091E-20
   1.13634E+04  7.73320E-19  8.56638E-19  3.50568E-23  1.62999E-18  2.08174E-20
   1.23650E+04  7.73075E-19  8.58244E-19  3.53570E-23  1.63135E-18  2.10279E-20
   1.34550E+04  7.72893E-19  8.59820E-19  3.56512E-23  1.63275E-18  2.12391E-20
   1.46411E+04  7.72774E-19  8.61366E-19  3.59394E-23  1.63418E-18  2.14523E-20
   1.59317E+04  7.72714E-19  8.62882E-19  3.62216E-23  1.63563E-18  2.16662E-20
   1.73360E+04  7.72691E-19  8.64370E-19  3.64987E-23  1.63710E-18  2.18818E-20
   1.88642E+04  7.72684E-19  8.65827E-19  3.67720E-23  1.63855E-18  2.20976E-20
   2.05271E+04  7.72701E-19  8.67253E-19  3.70427E-23  1.63999E-18  2.23145E-20
   2.23365E+04  7.72752E-19  8.68645E-19  3.73118E-23  1.64143E-18  2.25315E-20
   2.43055E+04  7.72823E-19  8.70002E-19  3.75789E-23  1.64286E-18  2.27506E-20
   2.64480E+04  7.72897E-19  8.71320E-19  3.78435E-23  1.64425E-18  2.29694E-20
   2.87794E+04  7.72963E-19  8.72596E-19  3.81053E-23  1.64560E-18  2.31891E-20
   3.13163E+04  7.73015E-19  8.73827E-19  3.83638E-23  1.64688E-18  2.34093E-20
   3.40768E+04  7.73042E-19  8.75008E-19  3.86190E-23  1.64809E-18  2.36300E-20
   3.70807E+04  7.73038E-19  8.76135E-19  3.88710E-23  1.64921E-18  2.38508E-20
   4.03493E+04  7.72996E-19  8.77206E-19  3.91199E-23  1.65024E-18  2.40725E-20
   4.39061E+04  7.72915E-19  8.78215E-19  3.93656E-23  1.65117E-18  2.42940E-20
   4.77764E+04  7.72813E-19  8.79161E-19  3.96063E-23  1.65201E-18  2.45159E-20
   5.19879E+04  7.72693E-19  8.80040E-19  3.98401E-23  1.65277E-18  2.47377E-20
   5.65706E+04  7.72558E-19  8.80852E-19  4.00668E-23  1.65345E-18  2.49599E-20
   6.15573E+04  7.72431E-19  8.81595E-19  4.02875E-23  1.65407E-18  2.51831E-20
   6.69835E+04  7.72319E-19  8.82271E-19  4.05039E-23  1.65463E-18  2.54057E-20
   7.28881E+04  7.72206E-19  8.82882E-19  4.07179E-23  1.65513E-18  2.56289E-20
   7.93132E+04  7.72096E-19  8.83429E-19  4.09315E-23  1.65557E-18  2.58524E-20
   8.63046E+04  7.72012E-19  8.83916E-19  4.11464E-23  1.65597E-18  2.60755E-20
   9.39123E+04  7.71937E-19  8.84346E-19  4.13637E-23  1.65632E-18  2.62990E-20
   1.02191E+05  7.71936E-19  8.84725E-19  4.15842E-23  1.65670E-18  2.65224E-20
   1.11199E+05  7.72423E-19  8.85057E-19  4.18074E-23  1.65752E-18  2.67451E-20
   1.21001E+05  7.72998E-19  8.85346E-19  4.20309E-23  1.65839E-18  2.69697E-20
   1.31667E+05  7.73259E-19  8.85597E-19  4.22519E-23  1.65890E-18  2.71936E-20
   1.43273E+05  7.73204E-19  8.85813E-19  4.24676E-23  1.65906E-18  2.74176E-20
   1.55903E+05  7.73124E-19  8.86000E-19  4.26750E-23  1.65917E-18  2.76419E-20
   1.69646E+05  7.73134E-19  8.86161E-19  4.28715E-23  1.65934E-18  2.78661E-20
   1.84600E+05  7.73148E-19  8.86298E-19  4.30546E-23  1.65949E-18  2.80902E-20
   2.00872E+05  7.73141E-19  8.86416E-19  4.32221E-23  1.65960E-18  2.83149E-20
