 # PENELOPE >>>  Positron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br       mfp_an       mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)         (cm)
 #-------------------------------------------------------------------------------------------
   1.16122E+03  1.95120E-05  2.00141E-05  6.91595E-01  8.02963E+00  9.87978E-06  9.68720E-04
   1.26358E+03  1.97369E-05  2.01051E-05  6.83422E-01  8.40434E+00  9.95949E-06  9.69964E-04
   1.37496E+03  1.99396E-05  2.01731E-05  6.74751E-01  8.80639E+00  1.00277E-05  9.69902E-04
   1.49616E+03  2.01218E-05  2.02201E-05  6.65634E-01  9.23790E+00  1.00852E-05  9.68662E-04
   1.62805E+03  2.02851E-05  2.02481E-05  6.56156E-01  9.70109E+00  1.01331E-05  9.66354E-04
   1.77156E+03  2.04311E-05  2.02592E-05  6.46546E-01  1.01983E+01  1.01722E-05  9.63088E-04
   1.92773E+03  2.05611E-05  2.02558E-05  6.37064E-01  1.07320E+01  1.02035E-05  9.58966E-04
   2.09765E+03  2.06763E-05  2.02400E-05  6.27942E-01  1.13048E+01  1.02277E-05  9.54018E-04
   2.28256E+03  2.07781E-05  2.02139E-05  6.19193E-01  1.19193E+01  1.02459E-05  9.48609E-04
   2.48377E+03  2.08681E-05  2.01798E-05  6.10657E-01  1.25785E+01  1.02589E-05  9.42519E-04
   2.70271E+03  2.09478E-05  2.01395E-05  6.02174E-01  1.32853E+01  1.02677E-05  9.35884E-04
   2.94096E+03  2.10185E-05  2.00948E-05  5.93588E-01  1.40430E+01  1.02729E-05  9.28841E-04
   3.20020E+03  2.10810E-05  2.00471E-05  5.84779E-01  1.48548E+01  1.02753E-05  9.21344E-04
   3.48230E+03  2.11361E-05  1.99978E-05  5.75880E-01  1.57245E+01  1.02754E-05  9.13776E-04
   3.78926E+03  2.11846E-05  1.99477E-05  5.67133E-01  1.66558E+01  1.02736E-05  9.05784E-04
   4.12328E+03  2.12278E-05  1.98977E-05  5.58765E-01  1.76527E+01  1.02704E-05  8.97731E-04
   4.48675E+03  2.12666E-05  1.98482E-05  5.50850E-01  1.87195E+01  1.02663E-05  8.89477E-04
   4.88225E+03  2.13007E-05  1.97997E-05  5.43262E-01  1.98609E+01  1.02612E-05  8.81091E-04
   5.31262E+03  2.13308E-05  1.97522E-05  5.35878E-01  2.10817E+01  1.02554E-05  8.72616E-04
   5.78093E+03  2.13573E-05  1.97060E-05  5.28722E-01  2.23873E+01  1.02490E-05  8.64159E-04
   6.29051E+03  2.13807E-05  1.96611E-05  5.21891E-01  2.37833E+01  1.02422E-05  8.55689E-04
   6.84502E+03  2.14009E-05  1.96174E-05  5.15409E-01  2.52757E+01  1.02350E-05  8.47226E-04
   7.44841E+03  2.14182E-05  1.95750E-05  5.09243E-01  2.68711E+01  1.02274E-05  8.38784E-04
   8.10498E+03  2.14327E-05  1.95338E-05  5.03355E-01  2.85766E+01  1.02194E-05  8.30399E-04
   8.81943E+03  2.14450E-05  1.94937E-05  4.97718E-01  3.03995E+01  1.02112E-05  8.22067E-04
   9.59686E+03  2.14554E-05  1.94547E-05  4.92315E-01  3.23482E+01  1.02028E-05  8.13814E-04
   1.04428E+04  2.14644E-05  1.94166E-05  4.87133E-01  3.44313E+01  1.01944E-05  8.05651E-04
   1.13634E+04  2.14723E-05  1.93795E-05  4.82161E-01  3.66583E+01  1.01859E-05  7.97577E-04
   1.23650E+04  2.14787E-05  1.93432E-05  4.77392E-01  3.90393E+01  1.01773E-05  7.89584E-04
   1.34550E+04  2.14834E-05  1.93077E-05  4.72817E-01  4.15853E+01  1.01686E-05  7.81723E-04
   1.46411E+04  2.14864E-05  1.92731E-05  4.68431E-01  4.43081E+01  1.01596E-05  7.73948E-04
   1.59317E+04  2.14878E-05  1.92392E-05  4.64225E-01  4.72204E+01  1.01505E-05  7.66300E-04
   1.73360E+04  2.14881E-05  1.92061E-05  4.60180E-01  5.03358E+01  1.01413E-05  7.58747E-04
   1.88642E+04  2.14880E-05  1.91738E-05  4.56274E-01  5.36691E+01  1.01323E-05  7.51329E-04
   2.05271E+04  2.14873E-05  1.91422E-05  4.52485E-01  5.72362E+01  1.01233E-05  7.44021E-04
   2.23365E+04  2.14857E-05  1.91115E-05  4.48800E-01  6.10542E+01  1.01144E-05  7.36851E-04
   2.43055E+04  2.14835E-05  1.90817E-05  4.45219E-01  6.51416E+01  1.01055E-05  7.29750E-04
