 # PENELOPE >>>  Electron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br      mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   8.63046E+04  2.15037E-05  1.87813E-05  4.03464E-01  1.00250E-05  6.36655E-04
   9.39123E+04  2.15058E-05  1.87721E-05  4.01344E-01  1.00228E-05  6.31244E-04
   1.02191E+05  2.15058E-05  1.87641E-05  3.99216E-01  1.00206E-05  6.25927E-04
   1.11199E+05  2.14922E-05  1.87571E-05  3.97085E-01  1.00156E-05  6.20714E-04
   1.21001E+05  2.14762E-05  1.87509E-05  3.94973E-01  1.00104E-05  6.15545E-04
   1.31667E+05  2.14690E-05  1.87456E-05  3.92907E-01  1.00073E-05  6.10478E-04
   1.43273E+05  2.14705E-05  1.87411E-05  3.90912E-01  1.00063E-05  6.05490E-04
   1.55903E+05  2.14727E-05  1.87371E-05  3.89012E-01  1.00057E-05  6.00577E-04
   1.69646E+05  2.14724E-05  1.87337E-05  3.87229E-01  1.00046E-05  5.95745E-04
   1.84600E+05  2.14721E-05  1.87308E-05  3.85582E-01  1.00037E-05  5.90992E-04
   2.00872E+05  2.14723E-05  1.87283E-05  3.84088E-01  1.00031E-05  5.86303E-04
   2.18579E+05  2.14724E-05  1.87262E-05  3.82758E-01  1.00025E-05  5.81721E-04
   2.37847E+05  2.14724E-05  1.87244E-05  3.81576E-01  1.00020E-05  5.77176E-04
   2.58813E+05  2.14723E-05  1.87229E-05  3.80522E-01  1.00015E-05  5.72699E-04
   2.81627E+05  2.14723E-05  1.87216E-05  3.79574E-01  1.00011E-05  5.68305E-04
   3.06453E+05  2.14724E-05  1.87204E-05  3.78712E-01  1.00008E-05  5.63960E-04
   3.33466E+05  2.14724E-05  1.87195E-05  3.77915E-01  1.00006E-05  5.59696E-04
   3.62861E+05  2.14724E-05  1.87187E-05  3.77160E-01  1.00003E-05  5.55487E-04
   3.94847E+05  2.14724E-05  1.87180E-05  3.76422E-01  1.00002E-05  5.51340E-04
   4.29653E+05  2.14724E-05  1.87175E-05  3.75678E-01  9.99999E-06  5.47261E-04
   4.67527E+05  2.14724E-05  1.87170E-05  3.74896E-01  9.99985E-06  5.43238E-04
   5.08739E+05  2.14725E-05  1.87166E-05  3.74045E-01  9.99974E-06  5.39275E-04
   5.53584E+05  2.14724E-05  1.87162E-05  3.73115E-01  9.99964E-06  5.35378E-04
   6.02383E+05  2.14724E-05  1.87159E-05  3.72145E-01  9.99956E-06  5.31512E-04
   6.55483E+05  2.14725E-05  1.87157E-05  3.71166E-01  9.99949E-06  5.27725E-04
   7.13263E+05  2.14725E-05  1.87155E-05  3.70165E-01  9.99944E-06  5.23976E-04
   7.76137E+05  2.14725E-05  1.87153E-05  3.69113E-01  9.99938E-06  5.20287E-04
   8.44553E+05  2.14725E-05  1.87151E-05  3.67990E-01  9.99934E-06  5.16649E-04
   9.19000E+05  2.14725E-05  1.87150E-05  3.66811E-01  9.99930E-06  5.13057E-04
   1.00001E+06  2.14725E-05  1.87149E-05  3.65618E-01  9.99927E-06  5.09515E-04
