 # PENELOPE >>>  Positron stopping powers (stp).
 #
 #   Energy       stp_col      stp_rad      stp_tot
 #    (keV)     (eV cm**2/g) (eV cm**2/g) (eV cm**2/g)
 #----------------------------------------------------
   4.39061E+04  1.72898E+06  1.51227E+06  3.24125E+06
   4.77764E+04  1.73647E+06  1.66023E+06  3.39669E+06
   5.19879E+04  1.74386E+06  1.82183E+06  3.56570E+06
   5.65706E+04  1.75118E+06  1.99831E+06  3.74949E+06
   6.15573E+04  1.75840E+06  2.19139E+06  3.94979E+06
   6.69835E+04  1.76554E+06  2.40279E+06  4.16832E+06
   7.28881E+04  1.77259E+06  2.63394E+06  4.40653E+06
   7.93132E+04  1.77956E+06  2.88629E+06  4.66585E+06
   8.63046E+04  1.78645E+06  3.16139E+06  4.94783E+06
   9.39123E+04  1.79327E+06  3.46140E+06  5.25467E+06
   1.02191E+05  1.80002E+06  3.78896E+06  5.58898E+06
   1.11199E+05  1.80671E+06  4.14684E+06  5.95355E+06
   1.21001E+05  1.81335E+06  4.53773E+06  6.35107E+06
   1.31667E+05  1.81994E+06  4.96445E+06  6.78439E+06
   1.43273E+05  1.82648E+06  5.43007E+06  7.25655E+06
   1.55903E+05  1.83298E+06  5.93787E+06  7.77085E+06
   1.69646E+05  1.83945E+06  6.49148E+06  8.33093E+06
   1.84600E+05  1.84589E+06  7.09496E+06  8.94086E+06
   2.00872E+05  1.85230E+06  7.75275E+06  9.60505E+06
   2.18579E+05  1.85869E+06  8.46965E+06  1.03283E+07
   2.37847E+05  1.86506E+06  9.25088E+06  1.11159E+07
   2.58813E+05  1.87142E+06  1.01021E+07  1.19735E+07
   2.81627E+05  1.87776E+06  1.10294E+07  1.29072E+07
   3.06453E+05  1.88408E+06  1.20396E+07  1.39236E+07
   3.33466E+05  1.89040E+06  1.31398E+07  1.50302E+07
   3.62861E+05  1.89671E+06  1.43381E+07  1.62348E+07
   3.94847E+05  1.90300E+06  1.56432E+07  1.75462E+07
   4.29653E+05  1.90930E+06  1.70646E+07  1.89739E+07
   4.67527E+05  1.91558E+06  1.86133E+07  2.05289E+07
   5.08739E+05  1.92186E+06  2.03013E+07  2.22232E+07
   5.53584E+05  1.92814E+06  2.21411E+07  2.40693E+07
   6.02383E+05  1.93441E+06  2.41435E+07  2.60779E+07
   6.55483E+05  1.94068E+06  2.63203E+07  2.82610E+07
   7.13263E+05  1.94695E+06  2.86882E+07  3.06352E+07
   7.76137E+05  1.95321E+06  3.12669E+07  3.32201E+07
   8.44553E+05  1.95948E+06  3.40780E+07  3.60375E+07
   9.19000E+05  1.96574E+06  3.71423E+07  3.91080E+07
   1.00001E+06  1.97200E+06  4.04786E+07  4.24506E+07
