 # PENELOPE >>>  Photon cross sections (xs).
 #
 #   Energy        xs_Ra        xs_Co        xs_ph        xs_pp       xs_tot
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   6.00000E+03  1.76398E-28  9.51881E-25  7.81550E-29  2.34775E-25  1.18691E-24
   7.00000E+03  1.29599E-28  8.55392E-25  6.51676E-29  2.74726E-25  1.13031E-24
   8.00000E+03  9.92246E-29  7.78447E-25  5.58027E-29  3.10860E-25  1.08946E-24
   9.00000E+03  7.83997E-29  7.15442E-25  4.87994E-29  3.43571E-25  1.05914E-24
   1.00000E+04  6.35037E-29  6.62795E-25  4.33147E-29  3.73408E-25  1.03631E-24
   1.25000E+04  4.06424E-29  5.62239E-25  3.38347E-29  4.37486E-25  9.99799E-25
   1.50000E+04  2.82239E-29  4.90228E-25  2.77471E-29  4.90876E-25  9.81160E-25
   1.75000E+04  2.07359E-29  4.35881E-25  2.34915E-29  5.36335E-25  9.72260E-25
   2.00000E+04  1.58759E-29  3.93229E-25  2.03859E-29  5.76165E-25  9.69431E-25
   2.50000E+04  1.01606E-29  3.30344E-25  1.60940E-29  6.42360E-25  9.72730E-25
   3.00000E+04  7.05597E-30  2.85960E-25  1.33115E-29  6.96049E-25  9.82029E-25
   3.50000E+04  5.18398E-30  2.52812E-25  1.13433E-29  7.41163E-25  9.93992E-25
   4.00000E+04  3.96898E-30  2.27031E-25  9.87515E-30  7.79827E-25  1.00687E-24
   4.50000E+04  3.13599E-30  2.06347E-25  8.74514E-30  8.13098E-25  1.01946E-24
   5.00000E+04  2.54015E-30  1.89361E-25  7.85225E-30  8.42357E-25  1.03173E-24
   6.00000E+04  1.76399E-30  1.63047E-25  6.51719E-30  8.91981E-25  1.05504E-24
   7.00000E+04  1.29599E-30  1.43540E-25  5.56714E-30  9.32607E-25  1.07615E-24
   8.00000E+04  9.92246E-31  1.28461E-25  4.85726E-30  9.66643E-25  1.09511E-24
   9.00000E+04  7.83997E-31  1.16423E-25  4.31141E-30  9.95349E-25  1.11178E-24
   1.00000E+05  6.35037E-31  1.06579E-25  3.87548E-30  1.02010E-24  1.12669E-24
   1.25000E+05  4.06424E-31  8.82991E-26  3.09231E-30  1.06930E-24  1.15760E-24
   1.50000E+05  2.82239E-31  7.56432E-26  2.57149E-30  1.10651E-24  1.18215E-24
   1.75000E+05  2.07359E-31  6.63268E-26  2.20160E-30  1.13611E-24  1.20244E-24
   2.00000E+05  1.58759E-31  5.91638E-26  1.92524E-30  1.16028E-24  1.21944E-24
   2.50000E+05  1.01606E-31  4.88335E-26  1.53865E-30  1.19661E-24  1.24544E-24
   3.00000E+05  7.05597E-32  4.17161E-26  1.28117E-30  1.22325E-24  1.26497E-24
   3.50000E+05  5.18398E-32  3.64954E-26  1.09744E-30  1.24402E-24  1.28051E-24
   4.00000E+05  3.96898E-32  3.24931E-26  9.59718E-31  1.26067E-24  1.29317E-24
   4.50000E+05  3.13599E-32  2.93207E-26  8.52660E-31  1.27441E-24  1.30373E-24
   5.00000E+05  2.54015E-32  2.67412E-26  7.67055E-31  1.28574E-24  1.31248E-24
   6.00000E+05  1.76399E-32  2.27922E-26  6.38722E-31  1.30309E-24  1.32588E-24
   7.00000E+05  1.29599E-32  1.99036E-26  5.47307E-31  1.31647E-24  1.33637E-24
   8.00000E+05  9.92246E-33  1.76941E-26  4.78860E-31  1.32726E-24  1.34495E-24
   9.00000E+05  7.83997E-33  1.59462E-26  4.25627E-31  1.33606E-24  1.35201E-24
   1.00000E+06  6.35037E-33  1.45273E-26  3.83044E-31  1.34340E-24  1.35793E-24
