 # PENELOPE >>>  Photon mass attenuation coefficients (mac).
 #
 #   Energy       mac_Ra       mac_Co       mac_ph       mac_pp       mac_tot
 #    (keV)      (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)
 #------------------------------------------------------------------------------
   3.30000E-01  2.47323E+00  2.44129E-02  1.92117E+04  1.00000E-35  1.92142E+04
   3.60000E-01  2.46674E+00  2.46053E-02  1.56375E+04  1.00000E-35  1.56400E+04
   3.90000E-01  2.45981E+00  2.47969E-02  1.29128E+04  1.00000E-35  1.29152E+04
   4.20000E-01  2.45246E+00  2.49876E-02  1.07911E+04  1.00000E-35  1.07936E+04
   4.50000E-01  2.44476E+00  2.51769E-02  9.11057E+03  1.00000E-35  9.11304E+03
   4.80000E-01  2.43643E+00  2.53684E-02  7.76980E+03  1.00000E-35  7.77226E+03
   5.20000E-01  2.42488E+00  2.56211E-02  6.36532E+03  1.00000E-35  6.36777E+03
   5.70000E-01  2.40961E+00  2.59358E-02  5.05151E+03  1.00000E-35  5.05394E+03
   6.10000E-01  2.39659E+00  2.61902E-02  4.25657E+03  1.00000E-35  4.25899E+03
   6.60000E-01  2.37966E+00  2.65116E-02  3.48008E+03  1.00000E-35  3.48249E+03
   7.10000E-01  2.36199E+00  2.68413E-02  2.88604E+03  1.00000E-35  2.88843E+03
   7.70000E-01  2.33990E+00  2.72547E-02  2.34114E+03  1.00000E-35  2.34351E+03
   8.30000E-01  2.31703E+00  2.76932E-02  1.92593E+03  1.00000E-35  1.92828E+03
   9.00000E-01  2.28943E+00  2.82465E-02  1.55927E+03  1.00000E-35  1.56159E+03
   9.70000E-01  2.26119E+00  2.88463E-02  1.28070E+03  1.00000E-35  1.28299E+03
